asset_id,asset_type,page_type,asset_name,keywords,conditions,forbidden_when,variant,html_path,css_path,slots,priority,validation,source_materials,notes
region.page-header.basic,region,All,基础页面头部,"页面标题,页面说明,头部,header",页面只需要标题与说明，无右侧操作,需要返回或主操作时不用,basic,assets/regions/page-header/basic.html,assets/regions/_region-support.css,TITLE_SLOT;DESCRIPTION_SLOT,100,必须位于内容区最上方;不得放入卡片内部,M006;M012;M015;M016;M057,通用头部
region.page-header.with-actions,region,TablePage|DetailPage|SettingsPage|HomePage,带操作页面头部,"主操作,新建,导出,头部操作,header action",页面级操作需要固定在标题右侧,批量操作不得放这里,with-actions,assets/regions/page-header/with-actions.html,assets/regions/_region-support.css,TITLE_SLOT;DESCRIPTION_SLOT;ACTION_SLOT,98,主按钮最多 1 个;次要操作在主操作左侧,M006;M054;M057;M060,页面头部按钮规则
region.page-header.with-back,region,DetailPage|EditPage|CreatePage,带返回页面头部,"返回,详情,编辑,提交,取消",需要从详情/编辑返回上级页面,列表页默认不用返回,with-back,assets/regions/page-header/with-back.html,assets/regions/_region-support.css,BACK_SLOT;TITLE_SLOT;DESCRIPTION_SLOT;ACTION_SLOT,95,返回入口在标题上方;提交操作右侧固定,M011;M012;M051;M057,详情编辑场景
region.filter-bar.basic,region,TablePage,基础筛选区,"查询,筛选,搜索,状态,列表筛选",筛选项 2-4 个，单行可展示,详情页/表单页不用,basic,assets/regions/filter-bar/basic.html,assets/regions/_region-support.css,FIELD_SLOT;ACTION_SLOT,100,必须包含查询和重置;操作区在右侧或末尾,M006;M041;M058;M064;M067;M072,列表页核心区域
region.filter-bar.advanced-expand,region,TablePage|ReportPage,高级展开筛选区,"高级筛选,多条件,展开,收起,筛选项配置",筛选项超过 4 个或需要组织/日期/负责人等复合条件,简单搜索不要使用,advanced-expand,assets/regions/filter-bar/advanced-expand.html,assets/regions/_region-support.css,FIELD_SLOT;ACTION_SLOT;TOGGLE_SLOT,90,展开/收起入口必须和操作区同组;默认仍保留查询重置,M006;M041;M058;M064;M067;M072;M074;M075,来自筛选项配置和表格页
region.filter-bar.compact-inline,region,TablePage,紧凑搜索筛选区,"搜索,关键词,简单查询,单条件",只有一个主搜索条件或弱筛选页面,复杂条件不用,compact-inline,assets/regions/filter-bar/compact-inline.html,assets/regions/_region-support.css,FIELD_SLOT;ACTION_SLOT,80,不能伪装成高级筛选;不得超过 2 个字段,M006;M058;M064;M067,低复杂度列表
region.table-toolbar.basic,region,TablePage,基础表格工具栏,"表格工具栏,新建,导出,列表标题,toolbar",列表数据需要表格标题和右侧操作,筛选条件不得放工具栏,basic,assets/regions/table-toolbar/basic.html,assets/regions/_region-support.css,LEFT_SLOT;RIGHT_ACTION_SLOT,100,工具栏与筛选区分离;新建为主按钮,M006;M058;M060;M063,表格区上方操作
region.table-toolbar.with-column-settings,region,TablePage,带列设置工具栏,"列设置,表头设置,批量操作,表格工具栏",表格支持列配置、批量操作或复杂设置,普通表格无需列设置时不用,with-column-settings,assets/regions/table-toolbar/with-column-settings.html,assets/regions/_region-support.css,LEFT_SLOT;RIGHT_ACTION_SLOT,92,列设置为次要操作;新建仍为主操作,M006;M042;M058;M089;M090,表头设置场景
region.data-table.basic,region,TablePage,基础表格区,"表格,数据展示,列表,行操作",结构化数据列表，需要行操作,卡片列表不用,basic,assets/regions/table-region/basic.html,assets/regions/_region-support.css,COLUMN_SLOT;ROW_SLOT;ACTION_SLOT,100,必须有表头;操作列在最后;状态用 status-tag,M006;M089;M090,列表页主体
region.data-table.with-selection-summary,region,TablePage,带选择汇总表格区,"多选,批量操作,选择,表格",需要批量处理且用户已选择多行,仅单行操作不用,with-selection-summary,assets/regions/table-region/with-selection-summary.html,assets/regions/_region-support.css,SELECTION_SLOT;ACTION_SLOT;TABLE_SLOT,90,批量操作不得塞进行内;选择后显示汇总区,M006;M058;M089;M090,批量操作闭环
