recipe_id,page_type,recipe_name,source_materials,keywords,default_region_order,required_regions,optional_modules,forbidden_patterns,slot_output,priority,validation
recipe.table.basic,TablePage,基础表格页,"基础表格.png;表格 Table.png;Toolbar 操作工具区按钮位置.png;分页 Pagination.png","列表,表格,查询,筛选,分页,数据管理,批量操作","page-header>filter-bar>table-toolbar>data-table>pagination","page-header;filter-bar;table-toolbar;data-table;pagination","batch-action-footer;detail-drawer;empty-state;table-column-settings","不得省略表格区;不得把批量操作放入行内;不得把分页放到表格上方",PAGE_CONTENT_SLOT,100,"必须包含表格区和分页;筛选区操作包含查询与重置;工具栏与筛选区分离"
recipe.table.card,TablePage,卡片表格页,"卡片表格.png;表格 Table.png","卡片表格,卡片列表,对象列表,图文列表","page-header>filter-bar>card-table-toolbar>card-grid>pagination","page-header;filter-bar;card-grid;pagination","card-actions;batch-action-footer;empty-state","不用于高密度字段表格;不用于强排序强筛选场景",PAGE_CONTENT_SLOT,80,"卡片必须有主信息区;操作区固定在卡片底部或右上;分页保留"
recipe.table.editable,TablePage,可编辑表格页,"可编辑表格页.png;表格 Table.png;Input 输入框.png;Select 选择器.png","可编辑表格,行内编辑,批量录入,明细维护","page-header>table-toolbar>editable-table>table-footer-actions","page-header;table-toolbar;editable-table","row-add-action;row-delete-action;batch-save-footer","不得用于复杂长表单;不得让每列控件宽度自由漂移",PAGE_CONTENT_SLOT,90,"必须有保存/取消或提交动作;新增行和删除行动作必须闭环"
recipe.table.multi-column,TablePage,多栏表格页,"多栏表格.png;表格 Table.png","多栏表格,复杂表格,多字段,多指标","page-header>filter-bar>table-toolbar>data-table-wide>pagination","page-header;filter-bar;table-toolbar;data-table-wide;pagination","table-column-settings;horizontal-scroll-hint","不得压缩列宽导致不可读;不得取消横向滚动容器",PAGE_CONTENT_SLOT,70,"宽表必须有横向滚动或列设置;操作列固定在右侧"
recipe.table.parent-child,TablePage,父子表格页,"父子.png;Tree 树形控件.png;表格 Table.png","父子,主从,树表,组织,分类,分组管理","page-header>split-layout-left-tree-right-table","page-header;split-layout;side-tree;data-table","filter-bar;detail-drawer;empty-state","不得把树和表格堆叠成长页面;不得让左右区滚动互相干扰",PAGE_CONTENT_SLOT,85,"左侧选择改变右侧数据;左右区域需要视觉边界或间距"
recipe.table.summary,TablePage,汇总信息表格页,"汇总信息.png;Badge 徽标.png;Tag 标签.png;表格 Table.png","汇总,统计,总览,指标+表格","page-header>summary-cards>filter-bar>table-toolbar>data-table>pagination","page-header;summary-cards;data-table;pagination","filter-bar;trend-chart;status-tags","不得把汇总指标放入表格首行伪装;不得过多指标卡片",PAGE_CONTENT_SLOT,75,"汇总区在表格上方;指标不超过一屏首屏认知负荷"
recipe.table.report,ReportPage,报表页,"报表.png;表格 Table.png;Segmented 分段控制器.png","报表,统计分析,查询报表,导出","page-header>report-filter-panel>summary-cards>report-table>pagination","page-header;report-filter-panel;report-table","summary-cards;chart-block;export-toolbar","不得弱化查询条件;不得只给图表不给明细",PAGE_CONTENT_SLOT,70,"报表必须有查询条件和导出入口;图表与明细关系清晰"
recipe.form.basic.vertical,CreatePage,基础表单上下布局,"基础表单-上下布局.png;表单 Form.png;Input 输入框.png;Select 选择器.png","新建,创建,提交,基础表单,上下布局","page-header>form-card>form-section>form-footer-actions","page-header;form-card;form-footer-actions","attachment-upload;form-help;confirm-modal","不得把提交按钮放在表单中间;不得无分组堆叠过长字段",PAGE_CONTENT_SLOT,100,"提交/取消动作固定在底部;字段按分组组织"
recipe.form.basic.horizontal,CreatePage,基础表单左右布局,"基础表单-左右表单.png;表单 Form.png","左右表单,标签对齐,录入,基础信息","page-header>form-card>horizontal-form-grid>form-footer-actions","page-header;form-card;horizontal-form-grid;form-footer-actions","form-help;attachment-upload","不得用于字段说明很长的复杂场景;不得左右列不对齐",PAGE_CONTENT_SLOT,80,"标签与控件对齐;字段宽度稳定"
recipe.form.step,CreatePage,分步表单,"分步表单.png;步骤条 Steps.png;表单 Form.png","分步,步骤,流程,提交,申请","page-header>steps-nav>step-form-card>step-footer-actions","page-header;steps-nav;step-form-card;step-footer-actions","step-summary;result-success;result-fail","不得把所有步骤内容一次性展开;不得缺少上一步/下一步",PAGE_CONTENT_SLOT,90,"当前步骤明确;步骤操作闭环;提交后有结果反馈"
