material_id,material_name,mapped_region_assets,conversion_status,next_step
M001,分步表单,region.form-section.multi-section;region.step-indicator.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M002,基础表单-上下布局,region.form-section.basic;region.form-section.multi-section;region.form-footer-actions.sticky,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M003,基础表单-左右表单,region.form-section.basic;region.form-section.multi-section;region.form-footer-actions.sticky,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M004,卡片表格,region.card-grid.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M005,可编辑表格页,,already_used_in_step3_or_region_reference,第 3 步页面配方；第 4 步区域校准
M006,基础表格,region.page-header.basic;region.page-header.with-actions;region.filter-bar.basic;region.filter-bar.advanced-expand;region.filter-bar.compact-inline;region.table-toolbar.basic;region.table-toolbar.with-column-settings;region.data-table.basic;region.data-table.with-selection-summary;region.pagination.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M007,多栏表格,,already_used_in_step3_or_region_reference,第 3 步页面配方；第 4 步区域校准
M008,报表,region.metric-grid.basic;region.dashboard-grid.basic;region.report-summary-bar.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M009,汇总信息,region.metric-grid.basic;region.report-summary-bar.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M010,父子,region.split-layout.master-detail,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M011,编辑页,region.page-header.with-back;region.form-section.multi-section,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M012,详情页-上下布局,region.page-header.basic;region.page-header.with-back;region.detail-summary.basic;region.detail-info-section.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M013,详情页-基础样式-左右布局,region.detail-summary.basic;region.detail-info-section.basic;region.detail-side-layout.basic;region.split-layout.master-detail,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M014,详情页-表格样式-左右布局,region.detail-summary.basic;region.detail-side-layout.basic;region.split-layout.master-detail,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M015,设置页 (1),region.page-header.basic;region.settings-layout.anchor;region.setting-section.basic;region.anchor.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M016,业务首页,region.page-header.basic;region.metric-grid.basic;region.dashboard-grid.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M017,首页,region.metric-grid.basic;region.dashboard-grid.basic,converted_as_region_reference,可在第 7 步纳入最终 HTML 资产包
M018,Alert 警告提示,,reserved_for_state_or_overlay_conversion,第 6 步状态/反馈/覆盖层资产
M019,Message 全局提示,,reserved_for_state_or_overlay_conversion,第 6 步状态/反馈/覆盖层资产
