rule_id,rule_type,asset_id,page_type,rule_name,rule,recommended_position,keywords,priority,priority_rank,source_materials,source_step,source_file
module-descriptions-basic,module_composition,module-descriptions-basic,DetailPage,module-descriptions-basic,只读字段信息优先用描述列表，避免改造成表单。,after:detail-summary,,P0,100,,step5,data/module-composition-rules.csv
module-approval-flow-basic,module_composition,module-approval-flow-basic,DetailPage,module-approval-flow-basic,审批详情必须展示审批节点状态和当前节点。,after:basic-info or side-panel,,P0,100,,step5,data/module-composition-rules.csv
module-related-table-basic,module_composition,module-related-table-basic,DetailPage,module-related-table-basic,关联对象多于 3 条时使用关联表。,after:approval-flow or after:basic-info,,P1,80,,step5,data/module-composition-rules.csv
module-operation-log-basic,module_composition,module-operation-log-basic,DetailPage,module-operation-log-basic,操作记录放页面靠后，避免打断主信息阅读。,last-section,,P1,80,,step5,data/module-composition-rules.csv
module-upload-file-basic,module_composition,module-upload-file-basic,CreatePage,module-upload-file-basic,附件是提交条件时放表单内；仅补充材料时放表单后。,inside:form-section or after:business-info,,P0,100,,step5,data/module-composition-rules.csv
module-table-header-settings-panel,module_composition,module-table-header-settings-panel,TablePage,module-table-header-settings-panel,表头设置不直接铺在表格主体内，优先作为配置面板。,overlay:drawer or popover,,P0,100,,step5,data/module-composition-rules.csv
module-async-processing-status-panel,module_composition,module-async-processing-status-panel,TablePage,module-async-processing-status-panel,导入导出等异步任务需要给出状态反馈入口。,after:toolbar or overlay:drawer,,P1,80,,step5,data/module-composition-rules.csv
module.batch-action-footer,module_composition,module.batch-action-footer,TablePage,module.batch-action-footer,列表页出现批量操作语义且已选择多行时，优先使用独立底栏承载批量动作。,after:data-table or sticky-footer,"批量,批量导出,批量启用,批量停用,选择",P0,100,,step13,step13/manual-fix
module-filter-config-panel,module_composition,module-filter-config-panel,SettingsPage,module-filter-config-panel,筛选项配置属于设置项详情，不要放进普通筛选区。,inside:settings-section,,P0,100,,step5,data/module-composition-rules.csv
overlay.detail-drawer,module_composition,overlay.detail-drawer,TablePage,overlay.detail-drawer,列表页存在查看详情语义且需要保留上下文时，优先用抽屉承载详情而不是跳完整详情页。,overlay:drawer,"查看详情,详情抽屉,右侧详情,成员详情",P0,100,,step13,step13/manual-fix
module-formula-editor-basic,module_composition,module-formula-editor-basic,SettingsPage,module-formula-editor-basic,公式编辑复杂度高，应提供独立编辑区域和说明。,inside:settings-section or drawer,,P0,100,,step5,data/module-composition-rules.csv
module-drag-sort-list,module_composition,module-drag-sort-list,SettingsPage,module-drag-sort-list,字段顺序、菜单顺序、节点顺序可用拖拽排序。,inside:settings-section,,P1,80,,step5,data/module-composition-rules.csv
module-file-preview-basic,module_composition,module-file-preview-basic,Drawer,module-file-preview-basic,文件预览可使用抽屉保留列表上下文。,drawer-body,,P1,80,,step5,data/module-composition-rules.csv
module-image-crop-panel,module_composition,module-image-crop-panel,Modal,module-image-crop-panel,图片裁剪适合使用功能型弹窗。,modal-body,,P1,80,,step5,data/module-composition-rules.csv
feedback_vs_state,feedback_state_overlay,,,反馈与状态,Message/Notification/Alert 是反馈；Empty/Loading/Result 是状态。不要混用。,,,,50,,step6,data/feedback-composition-rules.csv
overlay_mount,feedback_state_overlay,,,覆盖层挂载,Modal/Drawer/Confirm 必须挂到 OVERLAY_SLOT，不得插进 page-content-container。,,,,50,,step6,data/feedback-composition-rules.csv
modal_vs_drawer,feedback_state_overlay,,,弹窗和抽屉选择,短流程用 Modal；长表单、右侧详情、复杂配置用 Drawer；行内轻量危险操作用 Popconfirm。,,,,50,,step6,data/feedback-composition-rules.csv
blocking_level,feedback_state_overlay,,,阻断级别,Message 不阻断；Alert 弱阻断；Confirm Modal 强阻断；Drawer 保留上下文。,,,,50,,step6,data/feedback-composition-rules.csv
empty_action,feedback_state_overlay,,,空状态动作,空状态必须给出原因或下一步，不允许只有图。,,,,50,,step6,data/feedback-composition-rules.csv
loading_choice,feedback_state_overlay,,,加载选择,首屏/卡片加载用 Skeleton；短时局部等待用 Spin；可量化任务用 Progress。,,,,50,,step6,data/feedback-composition-rules.csv
