material_id,source_path,material_name,material_category,asset_id,conversion_status
M018,场景/反馈/Alert 警告提示.png,Alert 警告提示,反馈,FB_ALERT_BASIC,converted_step6
M018,场景/反馈/Alert 警告提示.png,Alert 警告提示,反馈,FB_ALERT_WARNING,converted_step6
M019,场景/反馈/Message 全局提示.png,Message 全局提示,反馈,FB_MESSAGE_SUCCESS,converted_step6
M019,场景/反馈/Message 全局提示.png,Message 全局提示,反馈,FB_MESSAGE_ERROR,converted_step6
M020,场景/反馈/Popconfirm 气泡确认框.png,Popconfirm 气泡确认框,反馈,OV_POPCONFIRM_BASIC,converted_step6
M021,场景/反馈/Progress 进度条.png,Progress 进度条,反馈,ST_PROGRESS_BASIC,converted_step6
M022,场景/反馈/Skeleton 骨架屏.png,Skeleton 骨架屏,反馈,ST_LOADING_SKELETON,converted_step6
M023,场景/反馈/Spin 加载中.png,Spin 加载中,反馈,ST_LOADING_SPIN,converted_step6
M024,场景/反馈/功能类对话框 Modal.png,功能类对话框 Modal,反馈,OV_MODAL_FUNCTIONAL,converted_step6
M025,场景/反馈/抽屉 Drawer.png,抽屉 Drawer,反馈,OV_DRAWER_BASIC,converted_step6
M026,场景/反馈/确认类对话框 Modal.png,确认类对话框 Modal,反馈,OV_MODAL_CONFIRM,converted_step6
M027,场景/反馈/结果 Result.png,结果 Result,反馈,ST_RESULT_SUCCESS,converted_step6
M027,场景/反馈/结果 Result.png,结果 Result,反馈,ST_RESULT_ERROR,converted_step6
M028,场景/反馈/通知提醒框 Notification.png,通知提醒框 Notification,反馈,FB_NOTIFICATION_BASIC,converted_step6
M078,场景/数据展示/Empty 空状态.png,Empty 空状态,数据展示,ST_EMPTY_BASIC,converted_step6
