asset_id,asset_type,asset_name,material_ids,page_type,keywords,conditions,forbidden_when,slots,variant,priority,html_path,validation
combo-header-actions,component_combo,页面头部操作按钮组,M057,All,头部操作 header action 主操作 新建 导出 返回,页面头部存在全局动作；动作影响整个页面对象,仅作用于单行或局部区域的操作；不要放到头部,HEADER_ACTIONS_SLOT,primary-secondary,P0,assets/component-combos/button-placement/header-actions.html,最多一个主按钮；主按钮靠右；次要按钮在主按钮左侧
combo-toolbar-actions,component_combo,表格工具栏操作按钮组,M058,TablePage,工具栏 toolbar 批量操作 新建 列设置 刷新,列表/表格上方有数据级操作或视图级操作,表单提交按钮；页面级返回按钮,TABLE_TOOLBAR_ACTIONS_SLOT,left-business-right-view,P0,assets/component-combos/button-placement/toolbar-actions.html,左侧放业务动作；右侧放视图/设置动作；同组按钮间距8px
combo-body-action-panel,component_combo,内容区局部操作面板,M054,All,内容区 body 局部操作 保存 配置 操作面板,操作只影响当前模块/区块，不影响整页,整页提交；表格批量操作；头部全局操作,BODY_ACTION_SLOT,description-left-actions-right,P0,assets/component-combos/button-placement/body-action-panel.html,必须有影响范围说明；操作靠右；不要脱离所属区块
combo-footer-actions,component_combo,页面底部提交按钮组,M056,CreatePage | EditPage | SettingsPage,底部 footer 提交 保存 取消 表单操作,长表单、分组表单或配置页需要稳定提交入口,短弹窗内容；表格工具栏；单行操作,PAGE_FOOTER_ACTIONS_SLOT,sticky-submit,P0,assets/component-combos/button-placement/footer-actions.html,主提交按钮唯一且最右；取消在左；底部吸附时不得遮挡内容
combo-input-field,component_combo,Input 输入框,M064,FormPage | FilterBar | Overlay,文本输入 关键字 搜索 名称 编号,需要录入或选择单个字段值,只读展示；复杂批量编辑；应使用专用模块的场景,FIELD_SLOT,label-control-help,P1,assets/component-combos/form-controls/input.html,必须包含 label；帮助文案可删；不要裸放控件
combo-input-number-field,component_combo,InputNumber 数字输入框,M065,FormPage | FilterBar | Overlay,数字 金额 次数 数量 比例,需要录入或选择单个字段值,只读展示；复杂批量编辑；应使用专用模块的场景,FIELD_SLOT,label-control-help,P1,assets/component-combos/form-controls/input-number.html,必须包含 label；帮助文案可删；不要裸放控件
combo-select-field,component_combo,Select 选择器,M067,FormPage | FilterBar | Overlay,选择 状态 类型 下拉 单选,需要录入或选择单个字段值,只读展示；复杂批量编辑；应使用专用模块的场景,FIELD_SLOT,label-control-help,P1,assets/component-combos/form-controls/select.html,必须包含 label；帮助文案可删；不要裸放控件
combo-date-picker-field,component_combo,DatePicker 日期选择,M072,FormPage | FilterBar | Overlay,日期 时间 开始时间 结束时间,需要录入或选择单个字段值,只读展示；复杂批量编辑；应使用专用模块的场景,FIELD_SLOT,label-control-help,P1,assets/component-combos/form-controls/date-picker.html,必须包含 label；帮助文案可删；不要裸放控件
combo-time-picker-field,component_combo,TimePicker 时间选择,M073,FormPage | FilterBar | Overlay,时间 时分 秒 时间点,需要录入或选择单个字段值,只读展示；复杂批量编辑；应使用专用模块的场景,FIELD_SLOT,label-control-help,P1,assets/component-combos/form-controls/time-picker.html,必须包含 label；帮助文案可删；不要裸放控件
combo-tree-select-field,component_combo,TreeSelect 树选择,M074,FormPage | FilterBar | Overlay,组织 部门 树选择 层级,需要录入或选择单个字段值,只读展示；复杂批量编辑；应使用专用模块的场景,FIELD_SLOT,label-control-help,P1,assets/component-combos/form-controls/tree-select.html,必须包含 label；帮助文案可删；不要裸放控件
combo-cascader-field,component_combo,Cascader 级联选择,M075,FormPage | FilterBar | Overlay,地区 层级 级联 多级,需要录入或选择单个字段值,只读展示；复杂批量编辑；应使用专用模块的场景,FIELD_SLOT,label-control-help,P1,assets/component-combos/form-controls/cascader.html,必须包含 label；帮助文案可删；不要裸放控件
combo-radio-group,component_combo,单选项组合,M066,FormPage | Overlay | SettingsPage,单选 radio 二选一 选项,多个互斥选项，用户只能选择一个,独立开关状态；多选场景；选项过多应使用 Select,FIELD_SLOT,inline-options,P1,assets/component-combos/form-controls/radio-group.html,选项互斥；超过5项改用下拉选择
combo-checkbox-group,component_combo,多选项组合,M070,FormPage | Overlay | SettingsPage,多选 checkbox 勾选 复选,多个非互斥选项，可同时选择多个,互斥选项；单一启停状态,FIELD_SLOT,inline-options,P1,assets/component-combos/form-controls/checkbox-group.html,多选语义必须清楚；禁用项需要原因说明
combo-switch-setting,component_combo,开关设置项,M071 | M059,SettingsPage,开关 switch 启用 禁用 设置项,状态可即时开启/关闭，且结果可被清楚解释,需要提交审核；有多项参数；不可立即生效的操作,SETTING_ITEM_SLOT,description-left-switch-right,P0,assets/component-combos/form-controls/switch-setting.html,必须说明开启/关闭影响；不可用 switch 替代表单提交
combo-upload-field,component_combo,上传字段组合,M069,FormPage | DetailPage | Overlay,上传 upload 附件 文件 拖拽,单个字段需要上传附件或材料,复杂上传下载场景，应使用 upload-file 模块,FIELD_SLOT | MODULE_SLOT,dropzone-field,P1,assets/component-combos/form-controls/upload-field.html,必须有文件格式/大小说明；复杂列表型附件用模块资产
combo-sidebar-contents,component_combo,分栏目录内容组合,M068,SettingsPage | FormPage | DetailPage,分栏目录 sidebar contents 左侧目录 锚点 分组,长内容需要左侧目录定位或分组导航,内容少于2组；简单弹窗；普通列表页,CONTENT_SLOT,left-anchor-right-content,P1,assets/component-combos/form-controls/sidebar-contents.html,左侧目录必须对应右侧分组；不要只放装饰性目录
combo-tag-status,display_component_combo,状态标签组合,M082,All,标签 tag 状态 结果 标识,用于表达状态、分类或轻量属性,长文本说明；需要操作确认的反馈,DISPLAY_SLOT | TABLE_CELL_SLOT,semantic-status,P2,assets/component-combos/display/tag-status.html,状态色必须有语义；不要把标签当按钮
combo-badge,display_component_combo,徽标提示组合,M077,All,徽标 badge 未读 数量 红点 待办,需要在入口旁提示未读、数量、状态点,需要解释原因的错误；不应制造无意义红点,DISPLAY_SLOT | NAV_ITEM_SLOT,dot-and-count,P2,assets/component-combos/display/badge.html,数量必须有来源；红点必须可消除或可解释
