material_id,material_name,material_category,source_path,mapped_asset_or_recipe_ids,coverage_status,next_action
M001,分步表单,典型页面,场景/典型页面 2/提单/分步表单.png,region.form-section.multi-section|region.step-indicator.basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M002,基础表单-上下布局,典型页面,场景/典型页面 2/提单/基础表单-上下布局.png,region.form-footer-actions.sticky|region.form-section.basic|region.form-section.multi-section,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M003,基础表单-左右表单,典型页面,场景/典型页面 2/提单/基础表单-左右表单.png,region.form-footer-actions.sticky|region.form-section.basic|region.form-section.multi-section,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M004,卡片表格,典型页面,场景/典型页面 2/表格页/卡片表格.png,region.card-grid.basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M005,可编辑表格页,典型页面,场景/典型页面 2/表格页/可编辑表格页.png,,listed_not_yet_mapped_in_step8,后续步骤复核；未映射不等于遗漏，可能属于规则/壳子/非内容区资产
M006,基础表格,典型页面,场景/典型页面 2/表格页/基础表格.png,region.data-table.basic|region.data-table.with-selection-summary|region.filter-bar.advanced-expand|region.filter-bar.basic|region.filter-bar.compact-inline|region.page-header.basic|region.page-header.with-actions|region.pagination.basic|region.table-toolbar.basic|region.table-toolbar.with-column-settings,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M007,多栏表格,典型页面,场景/典型页面 2/表格页/多栏表格.png,,listed_not_yet_mapped_in_step8,后续步骤复核；未映射不等于遗漏，可能属于规则/壳子/非内容区资产
M008,报表,典型页面,场景/典型页面 2/表格页/报表.png,region.dashboard-grid.basic|region.metric-grid.basic|region.report-summary-bar.basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M009,汇总信息,典型页面,场景/典型页面 2/表格页/汇总信息.png,region.metric-grid.basic|region.report-summary-bar.basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M010,父子,典型页面,场景/典型页面 2/表格页/父子.png,region.split-layout.master-detail,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M011,编辑页,典型页面,场景/典型页面 2/详情/编辑页.png,region.form-section.multi-section|region.page-header.with-back,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M012,详情页-上下布局,典型页面,场景/典型页面 2/详情/详情页-上下布局.png,module-related-table-basic|region.detail-info-section.basic|region.detail-summary.basic|region.page-header.basic|region.page-header.with-back,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M013,详情页-基础样式-左右布局,典型页面,场景/典型页面 2/详情/详情页-基础样式-左右布局.png,region.detail-info-section.basic|region.detail-side-layout.basic|region.detail-summary.basic|region.split-layout.master-detail,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M014,详情页-表格样式-左右布局,典型页面,场景/典型页面 2/详情/详情页-表格样式-左右布局.png,region.detail-side-layout.basic|region.detail-summary.basic|region.split-layout.master-detail,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M015,设置页 (1),典型页面,场景/典型页面 2/配置页面/设置页 (1).png,module-operation-log-basic|module-related-table-basic|region.anchor.basic|region.page-header.basic|region.setting-section.basic|region.settings-layout.anchor,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M016,业务首页,典型页面,场景/典型页面 2/首页/业务首页.png,region.dashboard-grid.basic|region.metric-grid.basic|region.page-header.basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M017,首页,典型页面,场景/典型页面 2/首页/首页.png,region.dashboard-grid.basic|region.metric-grid.basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M018,Alert 警告提示,反馈,场景/反馈/Alert 警告提示.png,,listed_not_yet_mapped_in_step8,后续步骤复核；未映射不等于遗漏，可能属于规则/壳子/非内容区资产
M019,Message 全局提示,反馈,场景/反馈/Message 全局提示.png,,listed_not_yet_mapped_in_step8,后续步骤复核；未映射不等于遗漏，可能属于规则/壳子/非内容区资产
M020,Popconfirm 气泡确认框,反馈,场景/反馈/Popconfirm 气泡确认框.png,,listed_not_yet_mapped_in_step8,后续步骤复核；未映射不等于遗漏，可能属于规则/壳子/非内容区资产
M021,Progress 进度条,反馈,场景/反馈/Progress 进度条.png,module-async-processing-status-panel,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M022,Skeleton 骨架屏,反馈,场景/反馈/Skeleton 骨架屏.png,,listed_not_yet_mapped_in_step8,后续步骤复核；未映射不等于遗漏，可能属于规则/壳子/非内容区资产
M023,Spin 加载中,反馈,场景/反馈/Spin 加载中.png,,listed_not_yet_mapped_in_step8,后续步骤复核；未映射不等于遗漏，可能属于规则/壳子/非内容区资产
M024,功能类对话框 Modal,反馈,场景/反馈/功能类对话框 Modal.png,,listed_not_yet_mapped_in_step8,后续步骤复核；未映射不等于遗漏，可能属于规则/壳子/非内容区资产
M025,抽屉 Drawer,反馈,场景/反馈/抽屉 Drawer.png,,listed_not_yet_mapped_in_step8,后续步骤复核；未映射不等于遗漏，可能属于规则/壳子/非内容区资产
M026,确认类对话框 Modal,反馈,场景/反馈/确认类对话框 Modal.png,,listed_not_yet_mapped_in_step8,后续步骤复核；未映射不等于遗漏，可能属于规则/壳子/非内容区资产
M027,结果 Result,反馈,场景/反馈/结果 Result.png,region.result.exception|region.result.success,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M028,通知提醒框 Notification,反馈,场景/反馈/通知提醒框 Notification.png,,listed_not_yet_mapped_in_step8,后续步骤复核；未映射不等于遗漏，可能属于规则/壳子/非内容区资产
M029,上传下载,复杂场景,场景/场景/上传下载.png,module-upload-download-basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M030,上传文件,复杂场景,场景/场景/上传文件.png,module-upload-file-basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M031,全屏,复杂场景,场景/场景/全屏.png,module-fullscreen-entry,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M032,1、功能区域,复杂场景/公式编辑器,场景/场景/公式编辑器/1、功能区域.png,module-formula-editor-basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M033,2、公式编辑区域+说明引导,复杂场景/公式编辑器,场景/场景/公式编辑器/2、公式编辑区域+说明引导.png,module-formula-editor-basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M034,3、智能小助手+模板,复杂场景/公式编辑器,场景/场景/公式编辑器/3、智能小助手+模板.png,module-formula-editor-with-assistant,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M035,公式编辑器设计模式,复杂场景/公式编辑器,场景/场景/公式编辑器/公式编辑器设计模式.png,module-formula-editor-basic|module-formula-editor-with-assistant,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M036,图片裁剪,复杂场景,场景/场景/图片裁剪.png,module-image-crop-panel,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M037,审批流与审批模式 (1),复杂场景,场景/场景/审批流与审批模式 (1).png,module-approval-flow-basic|module-approval-flow-mode-selector,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M038,审批流与审批模式,复杂场景,场景/场景/审批流与审批模式.png,module-approval-flow-basic|module-approval-flow-mode-selector,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M039,异步处理,复杂场景,场景/场景/异步处理.png,module-async-processing-status-panel,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M040,拖拽排序,复杂场景,场景/场景/拖拽排序.png,module-drag-sort-list,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M041,筛选项配置,复杂场景,场景/场景/筛选项配置.png,module-filter-config-panel|region.filter-bar.advanced-expand|region.filter-bar.basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M042,表头设置,复杂场景,场景/场景/表头设置.png,module-table-header-settings-panel|region.table-toolbar.with-column-settings,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M043,审批流,复杂场景,场景/审批流.png,module-approval-flow-basic|module-operation-log-basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M044,web端-多页签,导航,场景/导航/web端-多页签.png,,listed_not_yet_mapped_in_step8,后续步骤复核；未映射不等于遗漏，可能属于规则/壳子/非内容区资产
M045,下拉菜单 Dropdown,导航,场景/导航/下拉菜单 Dropdown.png,,listed_not_yet_mapped_in_step8,后续步骤复核；未映射不等于遗漏，可能属于规则/壳子/非内容区资产
M046,侧边导航,导航,场景/导航/侧边导航.png,,listed_not_yet_mapped_in_step8,后续步骤复核；未映射不等于遗漏，可能属于规则/壳子/非内容区资产
M047,分页 Pagination,导航,场景/导航/分页 Pagination.png,region.pagination.basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M048,标签页 Tabs,导航,场景/导航/标签页 Tabs.png,region.tabs.basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M049,步骤条 Steps,导航,场景/导航/步骤条 Steps.png,region.step-indicator.basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
M050,胶囊选项卡 CapsuleTabs ,导航,场景/导航/胶囊选项卡 CapsuleTabs .png,region.tabs.basic,mapped_to_asset_or_recipe,已进入统一检索或页面配方数据
