template_id,slot_id,slot_type,replace_mode,max_items,allowed_values
page.table,page_title,text,replace,1,
page.table,page_description,text,replace,1,
page.detail,page_title,text,replace,1,
page.detail,page_description,text,replace,1,
page.form,page_title,text,replace,1,
page.form,page_description,text,replace,1,
region.page-header,page_title,text,replace,1,
region.page-header,page_description,text,replace,1,
region.filter-bar,filter_fields,collection,replace,4,search|phone|department|status
region.filter-bar,filter_actions,collection,replace,2,reset|query
region.table-region,toolbar_title,text,replace,1,
region.table-region,toolbar_primary,text,replace,1,
region.table-region,table_columns,collection,replace,8,
region.table-region,table_rows,collection,replace,5,
region.table-region,row_actions,collection,replace,4,copy|edit|remove|view
region.detail-section,detail_blocks,collection,replace,8,
region.form-section,form_fields,collection,replace,8,text|select|textarea|tag
region.footer-actions,footer_actions,collection,replace,3,confirm|cancel|secondary
overlay.copy-modal,overlay_title,text,replace,1,
overlay.copy-modal,source_text,text,replace,1,
overlay.copy-modal,copy_options,collection,replace,3,org|function|role
overlay.copy-modal,target_tags,collection,replace,5,
overlay.copy-modal,overlay_actions,collection,replace,2,confirm|cancel
overlay.result-modal,overlay_title,text,replace,1,
overlay.result-modal,result_status,text,replace,1,success|partial|error
overlay.result-modal,result_summary,text,replace,1,
overlay.result-modal,result_groups,collection,replace,3,new|overlay|failed
