material_id,source_path,material_category,material_name,asset_layer,step5_status,target_asset_id,note
M001,场景/典型页面 2/提单/分步表单.png,典型页面,分步表单,page_recipe,covered_in_step3_page_recipe,step-form,页面配方已在第3步处理，模块转化时仅引用其组合关系
M002,场景/典型页面 2/提单/基础表单-上下布局.png,典型页面,基础表单-上下布局,page_recipe,covered_in_step3_page_recipe,basic-form-vertical-layout,页面配方已在第3步处理，模块转化时仅引用其组合关系
M003,场景/典型页面 2/提单/基础表单-左右表单.png,典型页面,基础表单-左右表单,page_recipe,covered_in_step3_page_recipe,basic-form-horizontal-layout,页面配方已在第3步处理，模块转化时仅引用其组合关系
M004,场景/典型页面 2/表格页/卡片表格.png,典型页面,卡片表格,page_recipe,covered_in_step3_page_recipe,card-table-page,页面配方已在第3步处理，模块转化时仅引用其组合关系
M005,场景/典型页面 2/表格页/可编辑表格页.png,典型页面,可编辑表格页,page_recipe,covered_in_step3_page_recipe,editable-table-page,页面配方已在第3步处理，模块转化时仅引用其组合关系
M006,场景/典型页面 2/表格页/基础表格.png,典型页面,基础表格,page_recipe,covered_in_step3_page_recipe,basic-table-page,页面配方已在第3步处理，模块转化时仅引用其组合关系
M007,场景/典型页面 2/表格页/多栏表格.png,典型页面,多栏表格,page_recipe,covered_in_step3_page_recipe,multi-column-table-page,页面配方已在第3步处理，模块转化时仅引用其组合关系
M008,场景/典型页面 2/表格页/报表.png,典型页面,报表,page_recipe,covered_in_step3_page_recipe,report-page,页面配方已在第3步处理，模块转化时仅引用其组合关系
M009,场景/典型页面 2/表格页/汇总信息.png,典型页面,汇总信息,page_recipe,covered_in_step3_page_recipe,summary-info-page,页面配方已在第3步处理，模块转化时仅引用其组合关系
M010,场景/典型页面 2/表格页/父子.png,典型页面,父子,page_recipe,covered_in_step3_page_recipe,parent-child-table-page,页面配方已在第3步处理，模块转化时仅引用其组合关系
