route_id,page_type,recipe_id,match_keywords,negative_keywords,scope,shell,page_block,priority,notes
router.table.basic,TablePage,recipe.table.basic,"列表,表格,查询,筛选,分页,数据管理,花名册,台账",详情,Full Page,admin-side-shell,ListPageBlock,100,默认表格页
router.table.card,TablePage,recipe.table.card,"卡片表格,卡片列表,图文列表,应用列表,项目列表",高密度,Full Page,admin-side-shell,ListPageBlock,80,卡片承载对象集合
router.table.editable,TablePage,recipe.table.editable,"可编辑表格,行内编辑,批量录入,明细维护",详情,Full Page,admin-side-shell,ListPageBlock,90,数据维护类表格
router.table.parent-child,TablePage,recipe.table.parent-child,"父子,主从,树表,组织,分类,分组管理",审批流,Full Page,admin-side-shell,ListPageBlock,85,左树右表
router.table.summary,TablePage,recipe.table.summary,"汇总,统计,总览,指标表格",报表,Full Page,admin-side-shell,ListPageBlock,75,指标+表格
router.table.report,ReportPage,recipe.table.report,"报表,统计分析,查询报表,导出",编辑,Full Page,admin-side-shell,ListPageBlock,70,重查询与导出
router.form.basic,CreatePage,recipe.form.basic.vertical,"新建,创建,提交,申请,基础表单",分步,Full Page,admin-side-shell,FormPageBlock,100,默认新建表单
router.form.horizontal,CreatePage,recipe.form.basic.horizontal,"左右表单,标签对齐,基础信息录入",分步,Full Page,admin-side-shell,FormPageBlock,80,字段较少且标签稳定
router.form.step,CreatePage,recipe.form.step,"分步,步骤,流程,多步骤,提交申请",列表,Full Page,admin-side-shell,FormPageBlock,90,分步录入
router.detail.basic,DetailPage,recipe.detail.basic.vertical,"详情,查看,单据详情,对象详情",编辑,Full Page,admin-side-shell,DetailPageBlock,100,默认详情
router.detail.horizontal,DetailPage,recipe.detail.basic.horizontal,"左右详情,右侧操作,状态侧栏",编辑,Full Page,admin-side-shell,DetailPageBlock,85,左信息右状态/操作
router.detail.table,DetailPage,recipe.detail.table.horizontal,"详情,关联表,明细表,子表",编辑,Full Page,admin-side-shell,DetailPageBlock,80,详情+明细表
router.edit,EditPage,recipe.detail.edit,"编辑,修改,维护,回填",详情,Full Page,admin-side-shell,FormPageBlock,85,编辑页面
router.settings,SettingsPage,recipe.settings.basic,"设置,配置,参数,权限,偏好",公式,Full Page,admin-side-shell,SettingsPageBlock,100,默认设置页
router.home.basic,HomePage,recipe.home.basic,"首页,工作台,概览,待办,快捷入口",门户,Full Page,admin-side-shell,None,80,后台首页
router.home.business,BusinessHomePage,recipe.home.business,"业务首页,运营首页,门户,资源入口,栏目",登录,Full Page,admin-side-shell,None,75,业务门户首页
router.result.success,ResultPage,recipe.result.success,"成功,提交成功,操作完成",列表,Full Page,blank-shell,None,70,成功结果
router.result.fail,ResultPage,recipe.result.fail,"失败,提交失败,错误,重试",列表,Full Page,blank-shell,None,70,失败结果
router.exception,ErrorPage,recipe.exception.basic,"403,404,500,无权限,页面不存在,服务器错误",业务详情,Full Page,blank-shell,None,70,异常页
router.workflow.detail,DetailPage,recipe.workflow.detail,"审批,流程,审批详情,待办,流转",列表,Full Page,admin-side-shell,DetailPageBlock,95,审批详情优先于普通详情
router.complex.config,SettingsPage,recipe.complex.config,"筛选项配置,表头设置,公式编辑,复杂配置,字段配置",普通设置,Full Page,admin-side-shell,SettingsPageBlock,85,复杂配置页
