icon_id,semantic_name,path,keywords,notes
icon.home,home,assets/icons/home.svg,首页|工作台|主页|home,主入口导航
icon.team,team,assets/icons/team.svg,成员|用户|团队|组织|team,成员与组织入口
icon.unordered-list,unordered-list,assets/icons/unordered-list.svg,列表|菜单|导航|list,列表与菜单入口
icon.down,down,assets/icons/down.svg,下拉|展开|更多|down,展开状态箭头
icon.up,up,assets/icons/up.svg,收起|向上|折叠|up,收起状态箭头
icon.left,left,assets/icons/left.svg,返回|上一页|左|left,返回与回退
icon.right,right,assets/icons/right.svg,前进|下一步|右|right,前进与跳转
icon.appstore,appstore,assets/icons/appstore.svg,应用|全部应用|九宫格|app,应用中心入口
icon.plus,plus,assets/icons/plus.svg,新增|添加|创建|plus,主操作按钮
icon.edit,edit,assets/icons/edit.svg,编辑|修改|edit,编辑动作
icon.delete,delete,assets/icons/delete.svg,删除|移除|delete,删除动作
icon.search,search,assets/icons/search.svg,搜索|查询|search,筛选查询
icon.filter,filter,assets/icons/filter.svg,筛选|过滤|filter,筛选入口
icon.setting,setting,assets/icons/setting.svg,设置|配置|齿轮|setting,设置入口
icon.download,download,assets/icons/download.svg,下载|导出|download,导出与下载
icon.upload,upload,assets/icons/upload.svg,上传|导入|upload,导入与上传
icon.close,close,assets/icons/close.svg,关闭|取消|close,关闭动作
icon.copy,copy,assets/icons/copy.svg,复制|copy|duplicate,复制动作
icon.check,check,assets/icons/check.svg,勾选|完成|成功|check,完成确认
icon.check-circle,check-circle,assets/icons/check-circle.svg,成功|通过|完成|success,成功状态
icon.close-circle,close-circle,assets/icons/close-circle.svg,失败|错误|拒绝|error,失败状态
icon.warning,warning,assets/icons/warning.svg,警告|风险|warning,警告提示
icon.info-circle,info-circle,assets/icons/info-circle.svg,提示|说明|帮助|info,提示信息
icon.clock-circle,clock-circle,assets/icons/clock-circle.svg,时间|等待|处理中|clock,等待与时间语义
icon.paper-clip,paper-clip,assets/icons/paper-clip.svg,附件|文件|attach|paperclip,附件入口
icon.bell,bell,assets/icons/bell.svg,通知|提醒|消息|bell,通知入口
icon.file-text,file-text,assets/icons/file-text.svg,单据|文档|文件|file,单据文档语义
icon.database,database,assets/icons/database.svg,数据|库|源|database,数据源与存储
icon.bar-chart,bar-chart,assets/icons/bar-chart.svg,统计|报表|图表|chart,统计报表入口
