recipe_id,asset_order,asset_role,asset_type,candidate_asset_id,required,slot,notes
recipe.table.basic,1,页面头部,region,region.page-header.basic,true,PAGE_CONTENT_SLOT,标题/说明/主操作
recipe.table.basic,2,筛选区,region,region.filter-bar.basic,true,PAGE_CONTENT_SLOT,查询重置闭环
recipe.table.basic,3,表格工具栏,region,region.table-toolbar.basic,true,PAGE_CONTENT_SLOT,左标题右操作
recipe.table.basic,4,表格区,region,region.data-table.basic,true,PAGE_CONTENT_SLOT,含状态/行操作
recipe.table.basic,5,分页区,region,region.pagination.basic,true,PAGE_CONTENT_SLOT,表格下方
recipe.table.basic,6,批量操作,module,module.batch-action-footer,false,OVERLAY_OR_PAGE_SLOT,选中行后出现
recipe.table.basic,7,详情抽屉,overlay,overlay.detail-drawer,false,OVERLAY_SLOT,查看详情时使用
recipe.table.card,1,页面头部,region,region.page-header.basic,true,PAGE_CONTENT_SLOT,
recipe.table.card,2,筛选区,region,region.filter-bar.basic,false,PAGE_CONTENT_SLOT,
recipe.table.card,3,卡片网格,region,region.card-grid.basic,true,PAGE_CONTENT_SLOT,
recipe.table.card,4,分页区,region,region.pagination.basic,true,PAGE_CONTENT_SLOT,
recipe.table.editable,1,页面头部,region,region.page-header.basic,true,PAGE_CONTENT_SLOT,
recipe.table.editable,2,表格工具栏,region,region.table-toolbar.basic,true,PAGE_CONTENT_SLOT,
recipe.table.editable,3,可编辑表格,region,region.editable-table.basic,true,PAGE_CONTENT_SLOT,
recipe.table.editable,4,底部保存区,region,region.form-footer-actions,true,PAGE_CONTENT_SLOT,
recipe.table.parent-child,1,页面头部,region,region.page-header.basic,true,PAGE_CONTENT_SLOT,
recipe.table.parent-child,2,左右分栏,region,region.split-layout.tree-table,true,PAGE_CONTENT_SLOT,
recipe.table.summary,1,页面头部,region,region.page-header.basic,true,PAGE_CONTENT_SLOT,
recipe.table.summary,2,汇总卡片,module,module.summary-cards.basic,true,PAGE_CONTENT_SLOT,
recipe.table.summary,3,筛选区,region,region.filter-bar.basic,false,PAGE_CONTENT_SLOT,
recipe.table.summary,4,表格区,region,region.data-table.basic,true,PAGE_CONTENT_SLOT,
recipe.table.report,1,页面头部,region,region.page-header.basic,true,PAGE_CONTENT_SLOT,
recipe.table.report,2,报表筛选面板,region,region.report-filter-panel,true,PAGE_CONTENT_SLOT,
recipe.table.report,3,汇总卡片,module,module.summary-cards.basic,false,PAGE_CONTENT_SLOT,
recipe.table.report,4,报表表格,region,region.report-table,true,PAGE_CONTENT_SLOT,
recipe.form.basic.vertical,1,页面头部,region,region.page-header.basic,true,PAGE_CONTENT_SLOT,
recipe.form.basic.vertical,2,表单卡片,region,region.form-card.vertical,true,PAGE_CONTENT_SLOT,
recipe.form.basic.vertical,3,底部操作,region,region.form-footer-actions,true,PAGE_CONTENT_SLOT,
recipe.form.basic.horizontal,1,页面头部,region,region.page-header.basic,true,PAGE_CONTENT_SLOT,
recipe.form.basic.horizontal,2,左右表单,region,region.form-card.horizontal,true,PAGE_CONTENT_SLOT,
recipe.form.basic.horizontal,3,底部操作,region,region.form-footer-actions,true,PAGE_CONTENT_SLOT,
recipe.form.step,1,页面头部,region,region.page-header.basic,true,PAGE_CONTENT_SLOT,
recipe.form.step,2,步骤条,region,region.steps-nav.basic,true,PAGE_CONTENT_SLOT,
recipe.form.step,3,步骤表单,region,region.step-form-card,true,PAGE_CONTENT_SLOT,
recipe.form.step,4,步骤操作,region,region.step-footer-actions,true,PAGE_CONTENT_SLOT,
recipe.detail.basic.vertical,1,页面头部,region,region.page-header.detail,true,PAGE_CONTENT_SLOT,
recipe.detail.basic.vertical,2,摘要区,module,module.detail-summary.basic,true,PAGE_CONTENT_SLOT,
recipe.detail.basic.vertical,3,信息分组,region,region.detail-section-stack,true,PAGE_CONTENT_SLOT,
recipe.detail.basic.vertical,4,审批流,module,module.approval-flow.basic,false,PAGE_CONTENT_SLOT,
recipe.detail.basic.vertical,5,关联表,module,module.related-table.basic,false,PAGE_CONTENT_SLOT,
recipe.detail.basic.vertical,6,操作记录,module,module.operation-log.basic,false,PAGE_CONTENT_SLOT,
recipe.detail.basic.horizontal,1,页面头部,region,region.page-header.detail,true,PAGE_CONTENT_SLOT,
recipe.detail.basic.horizontal,2,左右详情布局,region,region.detail-two-column,true,PAGE_CONTENT_SLOT,
recipe.detail.table.horizontal,1,页面头部,region,region.page-header.detail,true,PAGE_CONTENT_SLOT,
recipe.detail.table.horizontal,2,左右详情布局,region,region.detail-two-column,true,PAGE_CONTENT_SLOT,
recipe.detail.table.horizontal,3,关联表,module,module.related-table.basic,true,PAGE_CONTENT_SLOT,
recipe.detail.edit,1,页面头部,region,region.page-header.basic,true,PAGE_CONTENT_SLOT,
recipe.detail.edit,2,编辑表单,region,region.edit-form-card,true,PAGE_CONTENT_SLOT,
recipe.detail.edit,3,底部操作,region,region.form-footer-actions,true,PAGE_CONTENT_SLOT,
recipe.settings.basic,1,页面头部,region,region.page-header.basic,true,PAGE_CONTENT_SLOT,
recipe.settings.basic,2,设置页布局,region,region.settings-layout.anchor,true,PAGE_CONTENT_SLOT,
recipe.settings.basic,3,设置项,module,module.setting-item.basic,true,PAGE_CONTENT_SLOT,
recipe.home.basic,1,页面头部,region,region.page-header.basic,true,PAGE_CONTENT_SLOT,
recipe.home.basic,2,概览卡片,module,module.overview-cards.basic,true,PAGE_CONTENT_SLOT,
recipe.home.basic,3,待办面板,module,module.task-panel.basic,true,PAGE_CONTENT_SLOT,
recipe.home.basic,4,快捷入口,module,module.quick-entry-grid.basic,true,PAGE_CONTENT_SLOT,
recipe.home.business,1,页面头部,region,region.page-header.basic,true,PAGE_CONTENT_SLOT,
recipe.home.business,2,业务概览,module,module.business-overview.basic,true,PAGE_CONTENT_SLOT,
recipe.home.business,3,业务栏目,module,module.business-section-grid,true,PAGE_CONTENT_SLOT,
recipe.result.success,1,结果卡片,state,state.result.success,true,CONTENT_SLOT,
recipe.result.fail,1,结果卡片,state,state.result.fail,true,CONTENT_SLOT,
recipe.exception.basic,1,异常卡片,state,state.exception.basic,true,CONTENT_SLOT,
recipe.workflow.detail,1,页面头部,region,region.page-header.detail,true,PAGE_CONTENT_SLOT,
recipe.workflow.detail,2,摘要区,module,module.detail-summary.basic,true,PAGE_CONTENT_SLOT,
recipe.workflow.detail,3,审批流,module,module.approval-flow.basic,true,PAGE_CONTENT_SLOT,
recipe.workflow.detail,4,信息分组,region,region.detail-section-stack,true,PAGE_CONTENT_SLOT,
recipe.workflow.detail,5,操作记录,module,module.operation-log.basic,false,PAGE_CONTENT_SLOT,
recipe.complex.config,1,页面头部,region,region.page-header.basic,true,PAGE_CONTENT_SLOT,
recipe.complex.config,2,复杂配置布局,region,region.config-layout.split,true,PAGE_CONTENT_SLOT,
recipe.complex.config,3,配置编辑面板,module,module.config-editor-panel,true,PAGE_CONTENT_SLOT,
