material_id,material_name,material_category,step6_status,converted_assets,next_step
M001,分步表单,典型页面,not_in_step6_scope,,previous_or_later_step
M002,基础表单-上下布局,典型页面,not_in_step6_scope,,previous_or_later_step
M003,基础表单-左右表单,典型页面,not_in_step6_scope,,previous_or_later_step
M004,卡片表格,典型页面,not_in_step6_scope,,previous_or_later_step
M005,可编辑表格页,典型页面,not_in_step6_scope,,previous_or_later_step
M006,基础表格,典型页面,not_in_step6_scope,,previous_or_later_step
M007,多栏表格,典型页面,not_in_step6_scope,,previous_or_later_step
M008,报表,典型页面,not_in_step6_scope,,previous_or_later_step
M009,汇总信息,典型页面,not_in_step6_scope,,previous_or_later_step
M010,父子,典型页面,not_in_step6_scope,,previous_or_later_step
M011,编辑页,典型页面,not_in_step6_scope,,previous_or_later_step
M012,详情页-上下布局,典型页面,not_in_step6_scope,,previous_or_later_step
M013,详情页-基础样式-左右布局,典型页面,not_in_step6_scope,,previous_or_later_step
M014,详情页-表格样式-左右布局,典型页面,not_in_step6_scope,,previous_or_later_step
M015,设置页 (1),典型页面,not_in_step6_scope,,previous_or_later_step
M016,业务首页,典型页面,not_in_step6_scope,,previous_or_later_step
M017,首页,典型页面,not_in_step6_scope,,previous_or_later_step
M018,Alert 警告提示,反馈,converted_in_step6,FB_ALERT_BASIC | FB_ALERT_WARNING,none
M019,Message 全局提示,反馈,converted_in_step6,FB_MESSAGE_SUCCESS | FB_MESSAGE_ERROR,none
M020,Popconfirm 气泡确认框,反馈,converted_in_step6,OV_POPCONFIRM_BASIC,none
M021,Progress 进度条,反馈,converted_in_step6,ST_PROGRESS_BASIC,none
M022,Skeleton 骨架屏,反馈,converted_in_step6,ST_LOADING_SKELETON,none
M023,Spin 加载中,反馈,converted_in_step6,ST_LOADING_SPIN,none
M024,功能类对话框 Modal,反馈,converted_in_step6,OV_MODAL_FUNCTIONAL,none
M025,抽屉 Drawer,反馈,converted_in_step6,OV_DRAWER_BASIC,none
