asset_id,asset_layer,asset_type,asset_name,page_type,keywords,conditions,forbidden_when,variant,html_path,css_path,slots,priority,priority_rank,validation,source_materials,source_step,source_file,notes
region.data-table.basic,region,region,基础表格区,TablePage,"表格,数据展示,列表,行操作",结构化数据列表，需要行操作,卡片列表不用,basic,assets/regions/table-region/basic.html,assets/regions/_region-support.css,COLUMN_SLOT;ROW_SLOT;ACTION_SLOT,100,100,必须有表头;操作列在最后;状态用 status-tag,M006;M089;M090,step4,data/region-assets.csv,列表页主体
region.detail-info-section.basic,region,region,详情信息区,DetailPage,"基础信息,描述列表,详情字段",详情页展示对象属性,列表页不用,basic,assets/regions/detail-region/info-section.html,assets/regions/_region-support.css,FIELD_SLOT,100,100,字段按双列展示;只读字段不用表单控件,M012;M013;M086,step4,data/region-assets.csv,详情页信息
region.detail-summary.basic,region,region,详情摘要区,DetailPage,"摘要,状态,负责人,编号,关键字段",详情页需要先暴露核心状态和关键属性,纯文本说明页不用,basic,assets/regions/detail-region/summary-card.html,assets/regions/_region-support.css,SUMMARY_ITEM_SLOT,100,100,摘要项 3-4 个优先;状态必须可扫读,M012;M013;M014;M086,step4,data/region-assets.csv,详情页核心
region.filter-bar.basic,region,region,基础筛选区,TablePage,"查询,筛选,搜索,状态,列表筛选",筛选项 2-4 个，单行可展示,详情页/表单页不用,basic,assets/regions/filter-bar/basic.html,assets/regions/_region-support.css,FIELD_SLOT;ACTION_SLOT,100,100,必须包含查询和重置;操作区在右侧或末尾,M006;M041;M058;M064;M067;M072,step4,data/region-assets.csv,列表页核心区域
region.form-footer-actions.sticky,region,region,表单底部操作区,CreatePage|EditPage,"提交,取消,底部按钮,footer",表单页面需要稳定提交/取消操作,局部弹窗表单不用此区域,sticky,assets/regions/form-region/footer-actions.html,assets/regions/_region-support.css,ACTION_SLOT,100,100,主按钮在右;取消在左;底部固定不遮挡内容,M056;M060;M002;M003,step4,data/region-assets.csv,按钮位置规则
region.form-section.basic,region,region,基础表单区域,CreatePage|EditPage,"表单,基础信息,字段,录入",字段数量少，单组表单即可承载,多业务分组不用,basic-section,assets/regions/form-region/basic-section.html,assets/regions/_region-support.css,FIELD_SLOT,100,100,字段按双列栅格;长文本单独使用 textarea,M002;M003;M076;M064;M067,step4,data/region-assets.csv,表单基础
region.page-header.basic,region,region,基础页面头部,All,"页面标题,页面说明,头部,header",页面只需要标题与说明，无右侧操作,需要返回或主操作时不用,basic,assets/regions/page-header/basic.html,assets/regions/_region-support.css,TITLE_SLOT;DESCRIPTION_SLOT,100,100,必须位于内容区最上方;不得放入卡片内部,M006;M012;M015;M016;M057,step4,data/region-assets.csv,通用头部
region.pagination.basic,region,region,分页区,TablePage|CardListPage,"分页,上一页,下一页,总数",列表/表格/卡片列表需要分页,少量固定数据无需分页,basic,assets/regions/pagination/basic.html,assets/regions/_region-support.css,TOTAL_SLOT;PAGE_ACTION_SLOT,100,100,分页在列表下方;不得放到表格上方,M047;M006,step4,data/region-assets.csv,导航区域
region.setting-section.basic,region,region,设置分组区域,SettingsPage,"设置项,开关,配置,状态",设置页中的一组配置项,表单提交页不用,basic,assets/regions/settings-region/setting-section.html,assets/regions/_region-support.css,SETTING_ITEM_SLOT;STATUS_SLOT;ACTION_SLOT,100,100,设置项左文案右状态/操作;不要改成表格,M015;M054;M060;M071,step4,data/region-assets.csv,设置项模式
region.settings-layout.anchor,region,region,设置页锚点布局,SettingsPage,"设置页,锚点,分组导航,配置",配置项较多，需要左侧分组导航,少量设置项不用,anchor,assets/regions/settings-region/anchor-layout.html,assets/regions/_region-support.css,ANCHOR_SLOT;SETTING_SECTION_SLOT,100,100,左侧只做导航;右侧承载配置项,M015;M052;M068,step4,data/region-assets.csv,设置页骨架
