tag_id,keywords,notes
tabular_data,"列表|表格|数据列表|操作列|分页|table|list|grid|pagination","table page intent"
editable,"可编辑|编辑|录入|提交|inline edit|editable","editable content intent"
read_only,"详情页|查看页|detail page|detail-page|详情查看","detail page intent"
has_overlay,"弹窗|对话框|确认弹窗|结果弹窗|modal|dialog|overlay","has overlay"
copy_flow,"复制|拷贝|duplicate|copy","copy flow"
result_feedback,"结果弹窗|成功|失败|结果反馈|success|error|result","result feedback"
filtering,"筛选|查询|搜索|filter|search|query","legacy filter signal"
base_filtering,"筛选|查询|搜索|filter|search|query","base filter region"
quick_filtering,"快捷筛选|标签筛选|saved view|quick filter|chip","quick filter region"
advanced_filtering,"高级筛选|更多筛选|展开筛选|advanced filter|more filters","advanced filtering"
top_primary_action,"新增|创建|发起|新建|create|new","top primary action"
top_secondary_actions,"导出|导入|下载|上传|启用|停用|删除|export|import|download|upload","top secondary actions"
top_utility_actions,"刷新|列设置|密度|refresh|column settings|density","top utility actions"
footer_actions,"底部按钮|确认|取消|footer actions|confirm|cancel","footer actions"
high_density,"B端|后台|管理|admin","high density"
