category,icon_name,keywords,usage,best_for,style,svg_path,notes
navigation,home,"首页,工作台,主页,home",top-nav|side-menu,主入口导航,outlined,assets/icons/home.svg,default-high-frequency
navigation,team,"成员,用户,团队,组织,team",side-menu|table-header,成员与组织入口,outlined,assets/icons/team.svg,default-high-frequency
navigation,unordered-list,"列表,菜单,导航,list",side-menu|context-nav,列表与菜单入口,outlined,assets/icons/unordered-list.svg,default-high-frequency
navigation,down,"下拉,展开,更多,down",menu|collapse|dropdown,展开状态箭头,outlined,assets/icons/down.svg,default-high-frequency
navigation,up,"收起,向上,折叠,up",menu|collapse,收起状态箭头,outlined,assets/icons/up.svg,default-high-frequency
navigation,left,"返回,上一页,左,left",button|breadcrumb|tabs,返回与回退,outlined,assets/icons/left.svg,default-high-frequency
navigation,right,"前进,下一步,右,right",button|breadcrumb|tabs,前进与跳转,outlined,assets/icons/right.svg,default-high-frequency
navigation,appstore,"应用,全部应用,九宫格,app",top-nav|launcher,应用中心入口,outlined,assets/icons/appstore.svg,default-high-frequency
action,plus,"新增,添加,创建,plus",toolbar|button|modal,新增操作,outlined,assets/icons/plus.svg,default-high-frequency
action,edit,"编辑,修改,edit",table-row|button|drawer,编辑操作,outlined,assets/icons/edit.svg,default-high-frequency
action,delete,"删除,移除,清除,delete",table-row|button|confirm,删除操作,outlined,assets/icons/delete.svg,default-high-frequency
action,search,"搜索,查找,query,search",filter-bar|input|toolbar,查询输入与触发,outlined,assets/icons/search.svg,default-high-frequency
action,filter,"筛选,过滤,filter",filter-bar|table-toolbar,筛选入口,outlined,assets/icons/filter.svg,default-high-frequency
action,setting,"设置,配置,齿轮,setting",top-nav|toolbar|settings,设置入口,outlined,assets/icons/setting.svg,default-high-frequency
action,download,"下载,导出,download",toolbar|attachment|table-toolbar,导出与下载,outlined,assets/icons/download.svg,default-high-frequency
action,upload,"上传,导入,upload",toolbar|attachment|form,导入与上传,outlined,assets/icons/upload.svg,default-high-frequency
action,close,"关闭,取消,叉,close",modal|drawer|tag,关闭操作,outlined,assets/icons/close.svg,default-high-frequency
action,copy,"复制,拷贝,duplicate,copy",table-row|detail-actions,复制与克隆,outlined,assets/icons/copy.svg,default-high-frequency
status,check,"勾选,完成,成功,check",checkbox|status|toolbar,完成确认,outlined,assets/icons/check.svg,default-high-frequency
status,check-circle,"成功,通过,完成,success",result|message|status,成功状态,outlined,assets/icons/check-circle.svg,default-high-frequency
status,close-circle,"失败,错误,拒绝,error",result|message|status,失败状态,outlined,assets/icons/close-circle.svg,default-high-frequency
status,warning,"警告,风险,warning",message|status|form,警告提示,outlined,assets/icons/warning.svg,default-high-frequency
status,info-circle,"提示,说明,帮助,info",tooltip|message|detail,说明与帮助,outlined,assets/icons/info-circle.svg,default-high-frequency
status,clock-circle,"时间,等待,处理中,clock",status|timeline|approval,等待与时间语义,outlined,assets/icons/clock-circle.svg,default-high-frequency
business,paper-clip,"附件,文件,attach,paperclip",attachment|detail|form,附件入口,outlined,assets/icons/paper-clip.svg,default-high-frequency
business,bell,"通知,提醒,消息,bell",top-nav|header|notification,通知入口,outlined,assets/icons/bell.svg,default-high-frequency
business,file-text,"单据,文档,文件,file",detail|list|result,单据文档语义,outlined,assets/icons/file-text.svg,default-high-frequency
business,database,"数据,库,源,database",settings|data|config,数据源与存储,outlined,assets/icons/database.svg,default-high-frequency
business,bar-chart,"统计,报表,图表,chart",report|dashboard|summary,统计报表入口,outlined,assets/icons/bar-chart.svg,default-high-frequency
