page_type,asset_id,recommended_position,priority,rule
DetailPage,module-descriptions-basic,after:detail-summary,P0,只读字段信息优先用描述列表，避免改造成表单。
DetailPage,module-approval-flow-basic,after:basic-info or side-panel,P0,审批详情必须展示审批节点状态和当前节点。
DetailPage,module-related-table-basic,after:approval-flow or after:basic-info,P1,关联对象多于 3 条时使用关联表。
DetailPage,module-operation-log-basic,last-section,P1,操作记录放页面靠后，避免打断主信息阅读。
CreatePage,module-upload-file-basic,inside:form-section or after:business-info,P0,附件是提交条件时放表单内；仅补充材料时放表单后。
TablePage,module-table-header-settings-panel,overlay:drawer or popover,P0,表头设置不直接铺在表格主体内，优先作为配置面板。
TablePage,module-async-processing-status-panel,after:toolbar or overlay:drawer,P1,导入导出等异步任务需要给出状态反馈入口。
SettingsPage,module-filter-config-panel,inside:settings-section,P0,筛选项配置属于设置项详情，不要放进普通筛选区。
SettingsPage,module-formula-editor-basic,inside:settings-section or drawer,P0,公式编辑复杂度高，应提供独立编辑区域和说明。
SettingsPage,module-drag-sort-list,inside:settings-section,P1,字段顺序、菜单顺序、节点顺序可用拖拽排序。
Drawer,module-file-preview-basic,drawer-body,P1,文件预览可使用抽屉保留列表上下文。
Modal,module-image-crop-panel,modal-body,P1,图片裁剪适合使用功能型弹窗。
