asset_id,asset_layer,asset_type,page_type,keywords,conditions,forbidden_when,variant,html_path,slots,priority,validation
FB_ALERT_BASIC,feedback,alert,All,"提示,警告,说明,状态说明,限制说明",局部页面区域需要说明信息,不用于高风险二次确认,info,assets/feedback/alert/basic.html,CONTENT_SLOT | REGION_TOP,2,必须包含标题或说明；不得替代 Modal 确认
FB_ALERT_WARNING,feedback,alert,All,"风险提示,配置影响,注意,警告",用户继续前需要理解影响范围,不用于提交成功或普通结果,warning,assets/feedback/alert/warning.html,CONTENT_SLOT | REGION_TOP,2,风险不高于确认框；高风险改用 confirm modal
FB_MESSAGE_SUCCESS,feedback,message,All,"成功,保存成功,提交成功,删除成功",轻量操作结果反馈,不承载长说明或下一步复杂操作,success,assets/feedback/message/success.html,OVERLAY_SLOT | BODY_END,3,短文案；自动消失；不阻断用户流程
FB_MESSAGE_ERROR,feedback,message,All,"失败,错误,操作失败",轻量错误反馈,不用于表单字段级校验,error,assets/feedback/message/error.html,OVERLAY_SLOT | BODY_END,3,短文案；需给出重试或原因时改用 alert/notification
FB_NOTIFICATION_BASIC,feedback,notification,All,"通知,提醒,异步完成,后台任务",异步结果、可稍后处理的提醒,不用于必须立即确认的阻断流程,basic,assets/feedback/notification/basic.html,OVERLAY_SLOT | BODY_END,3,允许携带次级操作；不得遮挡主任务
ST_EMPTY_BASIC,state,empty,TablePage | DetailPage | FormPage | SettingsPage,"空状态,暂无数据,没有结果",内容为空且需要说明下一步,不用于加载中,basic,assets/states/empty/basic.html,CONTENT_SLOT | TABLE_BODY_SLOT,2,必须有标题；可选主操作；不得只显示图形
ST_LOADING_SPIN,state,loading,All,"加载中,等待,处理中",短时加载或局部刷新,不用于首屏长加载,spin,assets/states/loading/spin.html,CONTENT_SLOT | REGION_SLOT,3,用于短时等待；长加载优先 skeleton
ST_LOADING_SKELETON,state,loading,TablePage | DetailPage | FormPage,"骨架屏,加载占位,首屏加载",首屏或列表区域加载,不用于按钮内加载,skeleton,assets/states/loading/skeleton.html,CONTENT_SLOT | CARD_BODY_SLOT,2,结构应贴近最终内容；不得与 spin 同时出现
ST_PROGRESS_BASIC,state,progress,All,"进度,上传进度,处理进度,任务进度",可量化任务进度,不用于未知时长等待,basic,assets/states/progress/basic.html,MODULE_SLOT | REGION_SLOT,2,必须显示当前进度语义；未知进度用 spin
ST_RESULT_SUCCESS,state,result,ResultPage | FullPage | Overlay,"成功结果,提交成功,完成",流程结束且需要下一步引导,不用于普通 toast,success,assets/states/result/success.html,CONTENT_SLOT,2,必须提供返回或查看后续动作
ST_RESULT_ERROR,state,result,ResultPage | FullPage | Overlay,"失败结果,提交失败,错误页",流程失败且需要修正/重试,不用于字段级错误,error,assets/states/result/error.html,CONTENT_SLOT,2,必须说明失败原因或下一步处理路径
OV_MODAL_FUNCTIONAL,overlay,modal,Page Overlay | Full Page,"弹窗,短流程,编辑,新增,信息补充",短流程表单或简单编辑,不用于长内容和复杂配置,functional,assets/overlays/modal/functional.html,OVERLAY_SLOT,1,必须挂载到 overlay-root；不得插入 page-content 内
OV_MODAL_CONFIRM,overlay,confirm-modal,Page Overlay | Full Page,"确认,删除,撤销,作废,高风险",高风险动作二次确认,不用于普通提示,confirm,assets/overlays/modal/confirm.html,OVERLAY_SLOT,1,必须有明确风险文案和取消/确认两个动作
OV_DRAWER_BASIC,overlay,drawer,Page Overlay | Full Page,"抽屉,右侧详情,复杂配置,保留上下文",需要保留列表上下文的详情或配置,不用于短确认,basic,assets/overlays/drawer/basic.html,OVERLAY_SLOT,1,必须从页面右侧进入；内容较长可滚动
OV_POPCONFIRM_BASIC,overlay,popconfirm,All,"气泡确认,轻量确认,行内删除",行内轻量危险操作确认,不用于复杂说明或批量高风险,basic,assets/overlays/popconfirm/basic.html,TRIGGER_SLOT | ACTION_SLOT,2,必须靠近触发项；不得替代复杂 confirm modal
